strategy,trial,accuracy,hidden_channels,hidden_layers,learning_rate,warmup_epochs,down_sample,qb_link
DELAUNAY,20,0.7095937770095073,256,1,0.0018304919988247426,20,False,True
DELAUNAY,21,0.6694036300777874,256,1,0.0038712127150931056,20,False,True
DELAUNAY,22,0.7307692307692307,256,1,0.001055952887422169,20,False,True
DELAUNAY,23,0.7117545375972342,256,1,0.0010200460795258095,20,False,True
DELAUNAY,24,0.7281763180639585,256,1,0.0011066558338012234,20,False,True
DELAUNAY,25,0.6927398444252377,256,1,0.0014469715042010217,20,False,True
DELAUNAY,26,0.7065687121866897,256,1,0.003000055862510804,20,False,True
DELAUNAY,27,0.6923076923076923,128,1,0.0028470937187629777,20,False,True
DELAUNAY,28,0.6836646499567848,128,1,0.0017916600076268638,20,False,True
DELAUNAY,29,0.6949006050129646,256,1,0.0017902674891728683,20,False,True
DELAUNAY,30,0.5,256,2,0.007393215186413212,20,True,True
DELAUNAY,31,0.5,256,2,0.005692530875913177,20,True,True
DELAUNAY,32,0.7156439066551427,256,1,0.0011069787966931886,20,False,True
DELAUNAY,33,0.722990492653414,256,1,0.001009392620161355,20,False,True
DELAUNAY,34,0.7251512532411409,256,1,0.0014052304288387414,20,False,True
DELAUNAY,35,0.7329299913569577,256,1,0.0013785409573848684,30,False,True
DELAUNAY,36,0.6512532411408816,128,1,0.0037043192308450195,20,False,False
DELAUNAY,37,0.7070008643042351,128,1,0.003704003200237628,30,False,False
DELAUNAY,38,0.7104580812445981,256,1,0.0014177017355510406,30,False,True
DELAUNAY,39,0.6981441048034934,256,1,0.0014581039228954234,30,True,True
DELAUNAY,40,0.49945414847161573,256,1,0.01253299097471866,30,True,True
DELAUNAY,41,0.5,256,2,0.010833056897381373,30,True,False
DELAUNAY,42,0.7126188418323249,256,1,0.0021541735848715615,30,False,True
DELAUNAY,43,0.7108902333621435,256,1,0.0013334018352737665,30,False,True
DELAUNAY,44,0.6041486603284356,256,1,0.0767549539114604,10,False,True
DELAUNAY,45,0.6041486603284356,256,1,0.07937600627641843,10,False,True
DELAUNAY,46,0.7126188418323249,256,1,0.001016461258373297,10,False,True
DELAUNAY,47,0.709161624891962,128,1,0.0012461415877251178,20,False,True
DELAUNAY,48,0.7242869490060502,128,1,0.0012804004843954885,20,False,False
DELAUNAY,49,0.7108902333621435,256,1,0.001706166841095498,30,False,False
DELAUNAY,50,0.6041486603284356,256,1,0.04104112883460888,30,False,True
DELAUNAY,51,0.6936041486603285,256,1,0.0024992043164368456,20,False,True
DELAUNAY,52,0.6905790838375108,256,1,0.0015402849932029338,20,False,True
DELAUNAY,53,0.7052722558340536,256,1,0.0015270176205071423,20,False,True
DELAUNAY,54,0.7277441659464131,256,1,0.0012015039857292123,20,False,True
DELAUNAY,55,0.7044079515989629,256,1,0.002048469525175386,20,False,True
DELAUNAY,56,0.7082973206568712,256,1,0.001180610528506815,20,False,True
DELAUNAY,57,0.7216940363007779,256,1,0.0011388116086052313,20,False,True
DELAUNAY,58,0.7238547968885047,256,1,0.0011836857941410297,20,False,True
DELAUNAY,59,0.7026793431287813,256,1,0.0017186675894768908,20,False,True
DELAUNAY,60,0.6231633535004322,256,1,0.0032444610022785234,20,False,True
DELAUNAY,61,0.6041486603284356,256,1,0.018049252706494177,10,False,True
DELAUNAY,62,0.7186689714779603,256,1,0.0013509315979473842,20,False,True
DELAUNAY,63,0.7143474503025065,256,1,0.0013209203073239419,20,False,True
DELAUNAY,64,0.7095937770095073,256,1,0.0019802628477533857,20,False,True
DELAUNAY,65,0.7078651685393258,256,1,0.001975693843646106,20,False,True
DELAUNAY,66,0.7108902333621435,256,1,0.0010104142785395,20,False,True
DELAUNAY,67,0.7147796024200519,256,1,0.0010208016991719877,20,False,True
DELAUNAY,68,0.6937772925764192,256,1,0.002546310074739555,20,True,True
DELAUNAY,69,0.5,256,2,0.00259224041370681,20,True,True
DELAUNAY,70,0.7044079515989629,128,1,0.0016682170756477405,20,False,True
